"Walls of Jericho Trail","Oak Mountain State Park","Cheaha State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denali National Park","Chugach State Park","Kenai Fjords National Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coconino National Forest","Echo Canyon Recreation Area","Red Rock-Secret Mountain Wilderness","Lost Dutchman State Park","Phoenix National Preserve","McDowell Sonoran Preserve","Superstition Wilderness","Grand Canyon National Park","Glen Canyon National Recreation Area","Munds Mountain Wilderness","Kachina Peaks Wilderness","South Mountain Preserve","Sabino Canyon Recreation Area","Tonto National Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ozark-St. Francis National Forest","Buffalo National River","Lake Catherine State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yosemite National Park","Mt. Woodson Trail","Mission Peak Regional Preserve","Point Lobos State Natural Reserve","Torrey Pines State Natural Reserve","Angeles National Forest","Golden Gate National Recreation Area","Santa Monica Mountains National Recreation Area","Eaton Canyon","Iron Mountain Trail","John Muir Wilderness","Sheep Mountain Wilderness","Topanga State Park","Pinnacles National Park","Phillip Burton Wilderness Area","Cucamonga Wilderness","Mount Tamalpais State Park","Mission Trails Regional Park","Desolation Wilderness","Point Reyes National Reserve","Marin Headlands","Reinhardt Redwood Regional Park","Black Star Canyon Falls Trail","Crystal Cove State Park","Runyon Canyon Park","Griffith Park","Potato Chip Rock","Castle Rock State Park","Escondido Canyon Park","Tilden Regional Park","Lake Chabot Regional Park","San Elijo Lagoon","North Etiwanda Preserve","Santa Monica Mountains Natural Preserve","Cleveland National Forest","San Gorgonio Wilderness","Mount Diablo State Park","Sequoia National Park","Los Penasquitos Canyon Preserve","Auburn State Recreation Area","Eagle Rock","Andrew Molera State Park","Malibou Creek State Park","Joshua Tree National Park","Mount San Jancinto State Park","Claremont Hills State Park","Stevens Trail","Sierra Azul Open Space Preserve","El Capitan County Preserve","Montana State Beach","Lake Tahoe Basin Management Unit","Lassen Volcanic National Park","D.L. Bliss State Park"
"Rocky Mountain National Park","Mount Blue Sky Wilderness","Arapaho National Forest","Roosevelt National Forest","Pike National Forest","Genesee Park","White River National Forest","Mount Galbraith Park","Centennial Trailhead","Red Rocks Park","Mount Falcon Park","Matthews Winters Open Space Park","North Chyenne Canyon Park","Maroon Bells Snowmass Wilderness","San Isabel National Forest","City of Boulder Open Space and Mountain Parks","Garden of the Gods","Eldorado Canyon State Park","Golden Gate Canyon State Park","Uncompahgre Wilderness","Eagles Nest Wilderness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ragged Mountain Memorial Preserve","Mount Riga State Park","Sleeping Giant State Park","Wadsworth Falls State Park","Hubbard Park","Talcott Mountain State Park","Bluff Point State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cape Henlopen State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Bear Wilderness Area","Little Big Econ State Forest","Everglades National Park","Wekiwa Springs State Park","Hillsborough State Park","Weedon Island Preserve","Robinson Preserve","Fort Caroline National Memorial","Withlacoochie State Forest","Julington Durbin Creek Preserve","Circle B Bar Preserve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattahoochie-Oconne National Forest","Cloudland Canyon State Park","Amicalola State Park","Talluah Gorge State Park","Sawnee National Preserve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diamond Head State Monument","Koko Crater Regional Park","Round Top Forest Reserve","Makapu'u Trail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubbs Hill Park","Idaho Panhandle National Forest","Sawtooth wilderness Area","Ridge to Rivers Management Area","Boise National Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Starved Rock State Park","Matthiessen State Park","Shawnee National Forest","Waterfall Glen Forest Reserve","Swallow Cliff Woods","Salt Lick Land and Water Preserve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana Dunes National Park","Turkey Run State Park","Fort Harrisson State Park","Clifty Falls State Park","Brown County State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maquoketa Caves State Park","Wildcat Den State Park","Hitchcock Nature Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shawnee Mission Park","Wyandotte County Lake Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red River Gorge Geological Area","Natural Bridge State Park","Mammoth Cave National Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bogue Chitto State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acadia National Park","Pleasant Mountain Preserve","Mount Agamenticus Conservation Region","Town of Harpswell","Camden Hills State Park","Burnt Meadow Mountain Trails","Tumbledown Public Lands","Fore River Sanctuary","Douglas Mountain Preserve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Mountain State Park","Chesapeake and Ohio National Historical Park","Catoctin Mountain Park","Patapsco Valley State Park","Swallow Falls State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue Hills Reservation","Wachusett Mountain State Reservation","Mount Greylock State Reservation","Middlesex Fells Reservation","Watatic Mountain State Wildlife Area","Mount Holyoke Range State Park","Monument Mountain Reservation","World's End Reservation","Lynn Woods Reservation","Mount Tom State Reservation","Bash Bish Falls State Park","Great Brook Farm State Park","Walden Pond State Reservation","Borderland State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pictured Rocks National Lakeshore","Sleeping Bear Dunes National Lakeshore","Manistee National Forest","Pinckney Recreation Area","Maybury State Park","Sugarloaf Mountain","Bird Hills Nature Area","Brighton State Recreation Area","Porcupine Mountains Wilderness State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gooseberry Falls State Park","Superior National Forest","Fort Snelling State Park","Jay Cooke State Park","Lebanon Hills Regional Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark Creek Natural Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Castlewood State Park","Weldon Spring Conservation Area","Don Robinson State Park","Taum Sauk Mountain State Park","Pickle Springs Natural Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glacier National Park","Yellowstone National Park","Custer Gallatin National Forest","Flathead National Forest","K. Williams Natural Trail Area","Herron Park","Kootenai National Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Platte River State Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red Rock Canyon National Conservation Area","Humboldt-Toiyabe National Forest","Valley of Fire State Park","Mount Charleston Wilderness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White Mountain National Forest","Monadnock State Park","Major Mountain State Forest","Franconia Notch State Park","Mount Morgan and Mount Percival Loop","Crawford Notch State Park","Winslow State Park","Cardigan Mountain State Park","Green Hills Preserve","Pemigewasset Wilderness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worthington State Forest","Palisades Interstate Park","Wawayanda State Park","South Mountain Reservation","Maple Grange Community Park","Ramapo Mountain State Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wheeler Peak Wilderness","Carson National Forest","Santa Fe National Forest","Sandia Mountain Wilderness","Lincoln National Forest","White Sands National Park","Bandelier National Monument",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
